"Sample"	"MLST ST"	"MLST Formula short"	"Ogroup"	"Hgroup"	"stx"	"eae"	"amr genecount"	"amr genecount aquired"	"amr genecount points"	"amr genes"	"amr count classes"	"amr classes"	"amr count subclasses"	"amr subclasses"	"metal genecount"	"metal classes"	"biocide genecount"	"biocide classes"	"acid genecount"	"heat genecount"	"mobile amr genecount"	"mobile amr genes"	"plasmids contigs"	"plasmids cumulativelength"	"plasmids circular"	"count plasmidmarkers"	"plasmidmarkers"	"count vf"	"virulence factors"
"Ec_0-5_30_Ec5"	"21"	"16;4;12;16;9;7;7"	"O26/O175"	"H11/H28"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	14	103432	0	3	"IncB/O/K/Z_3;IncFIB(AP001918)_1;pEC4115_1"	124	"cesAB;cesD;cesD2;cesF;cesL;cesT;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspD;gspE;gspF;gspH;gspI;gspJ;gspK;gspL;hlyA;hlyB;hlyC;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stx2A;stx2B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_30_Ec6"	"-"	"965?;4;12;16;9;7;7"	"O26/O175"	"H11/H16"	"stx1A;stx1B"	"eae"	4	4	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	24	125700	0	3	"ColRNAI_1;IncB/O/K/Z_3;IncFIB(AP001918)_1"	114	"astA;cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entB;entD;entE;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX7/nleL;etgA;faeC;faeD;faeE;faeH;faeI;fepB;fepC;fepG;fes;fimA;fimB;fimC;fimE;fimF;fimG;fimI;fyuA;gspC;gspD;gspG;gspH;gspI;gspJ;gspK;gspM;hlyB;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagX/ecpC;yagY/ecpB;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX"
"Ec_0-5_30_Ec7"	"11"	"12;12;8;12;15;2;2"	"O157"	"H7"	"stx2A;stx2B;stx2dB"	"eae;eaeH"	4	4	0	"acrF;blaEC;emrD;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	19	113205	0	2	"Col(MG828)_1;IncFIB(AP001918)_1"	122	"aslA;astA;cesAB;cesD;cesD2;cesF;cesL;cesT;chuV;chuW;csgB;csgD;csgF;csgG;eae;east1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escU;escV;espB;espD;espG;espH;espJ;espK;espL1;espL2;espL4;espM1;espM2;espN;espR1;espR3;espR4;espW;espX1;espX2;espX4;espX5;espX6;espX7/nleL;espY2;espY3;espY4;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucC;map;nleA;nleA/espI;nleB1;nleB2;nleC;nleD;nleE;nleF;nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;sepZ/espZ;shuA;shuT;shuX;shuY;stcE;stx2A;stx2B;tir;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtQ;ybtS;ykgK/ecpR"
"Ec_0-5_30_Ec8"	"21"	"16;4;12;16;9;7;7"	"O134-Gp6/O26"	"H11/H38"	"stx1A;stx1B"	"eae;eaeH"	6	6	0	"acrF;blaCMY;blaEC;mdtM;tet(A)"	3	"BETA-LACTAM;EFFLUX;TETRACYCLINE"	4	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;TETRACYCLINE"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	32	198013	0	3	"IncB/O/K/Z_3;IncFIB(AP001918)_1;IncX4_2"	115	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;entA;entB;entC;entD;entE;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspL;gspM;hlyA;hlyB;hlyC;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_40_Ec1"	"-"	"6;4;12;1152?;9;731?;712?"	"O111/O134-Gp6"	"H38/H8"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	5	5	0	"acrF;blaCMY-2;blaEC;mdtM;tet(A)"	3	"BETA-LACTAM;EFFLUX;TETRACYCLINE"	4	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;TETRACYCLINE"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	24	180774	1	2	"IncFIB(AP001918)_1;IncX4_2"	99	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escO;escP;escR;escS;escT;escU;escV;espA;espB;espD;espG;espK;espL1;espM1;espM2;espN;espR1;espW;espX5;espX7/nleL;etgA;fdeC;fepA;fepC;fepD;fepG;fimA;fimB;fimC;fimE;fimF;fimH;fimI;gspC;gspD;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleC;nleE;nleG7';nleH1;nleH2;ompA;ospG;paa;sepD;sepL;sepQ/escQ;stx1A;stx1B;stx2A;stx2B;yagV/ecpE;yagW/ecpD"
"Ec_0-5_40_Ec2"	"-"	"6;19;266;136;9;12;712?"	"O104/O185"	"H4/H7"	"stx2B;stx2dB"	"eaeH"	11	11	0	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;blaTEM;dfrA7;mdtM;sul1;sul2;tet(A)"	6	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	6	"BETA-LACTAM;EFFLUX;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	45	240421	0	6	"Col440I_1;IncFIA_1;IncFIB(AP001918)_1;IncFIC(FII)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	65	"aggA;aggB;aggC;aggD;csgB;csgD;csgF;entA;entC;entD;entE;entS;espL1;espR1;espX1;espX4;espX5;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2B;yagY/ecpB;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_40_Ec3"	"678"	"6;6;5;136;9;7;7"	"O104/O113"	"H4"	"stx2A;stx2B"	"eaeH"	14	13	1	"acrF;aph(3'')-Ib;aph(6)-Id;blaCTX-M-15;blaEC;blaTEM;dfrA7;fosA7.5;gyrA_S83A;mdtM;sul1;sul2;tet(A)"	8	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;FOSFOMYCIN;QUINOLONE;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	9	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;FOSFOMYCIN;QUINOLONE;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	21	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	45	230760	0	5	"Col156_1;Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	70	"aap/aspU;aggA;aggB;aggC;aggD;astA;csgB;csgD;csgF;csgG;entA;entC;entD;entE;espR1;espX1;espX4;faeC;fdeC;fepB;fepC;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;irp1;irp2;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_40_Ec4"	"-"	"6;6;~266;~136;879?;7;712?"	"O9/O104/Onovel14"	"H4/H7"	"stx2A;stx2B"	""	13	13	0	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;blaKPC-3;blaTEM-1;dfrA7;fosA7.5;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;FOSFOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	8	"BETA-LACTAM;CARBAPENEM;EFFLUX;FOSFOMYCIN;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	21	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	2	0	0	"None found"	31	229229	1	4	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;repA_1_pKPC-2"	63	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entC;entD;entE;entF;entS;espR1;espX1;espX4;fepB;fepC;fepD;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspE;gspF;gspG;gspH;gspI;gspJ;gspL;irp2;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX"
"Ec_0-5_40_Ec5"	"-"	"16;4;12;1152?;9;7;7"	"O175/O26"	"H11/H28"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	15	117601	2	3	"IncB/O/K/Z_3;IncFIB(AP001918)_1;pEC4115_1"	121	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimH;fimI;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stx2A;stx2B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX"
"Ec_0-5_40_Ec6"	"-"	"16;4;873?;16;9;7;7"	"O175/O26"	"H11/H16"	"stx1A;stx1B"	"eae"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	22	135334	0	3	"ColRNAI_1;IncB/O/K/Z_3;IncFIB(AP001918)_1"	124	"astA;cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;faeC;faeD;faeE;faeF;faeH;faeI;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimF;fimG;fimH;fimI;fyuA;gspC;gspD;gspE;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyB;hlyD;irp1;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_40_Ec7"	"-"	"984?;12;8;12;15;2;2"	"O157"	"H7"	"stx2B"	"eae;eaeH"	4	4	0	"acrF;blaEC;emrD;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	25	131815	0	2	"Col(MG828)_1;IncFIB(AP001918)_1"	124	"astA;cesAB;cesD;cesD2;cesF;cesT;chuW;csgB;csgD;csgF;csgG;eae;east1;entA;entB;entC;entD;entE;entS;escC;escD;escE;escF;escG;escI;escL;escN;escO;escP;escR;escS;escU;escV;espA;espB;espG;espH;espJ;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espR3;espR4;espW;espX1;espX2;espX4;espX5;espX6;espX7/nleL;espY1;espY2;espY4;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fyuA;hlyA;hlyB;hlyC;hlyD;irp1;irp2;iucA;iucB;iucC;iucD;iutA;map;nleA;nleA/espI;nleB2;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;sepZ/espZ;shuA;shuS;shuT;shuX;shuY;stcE;stx2B;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_40_Ec8"	"-"	"16;6;5;16;9;7;7"	"O134-Gp6/O26"	"H11/H38"	"stx1A;stx1B"	"eae"	5	5	0	"acrF;blaCMY;blaEC;mdtM;tet(A)"	3	"BETA-LACTAM;EFFLUX;TETRACYCLINE"	4	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;TETRACYCLINE"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	24	186009	0	3	"IncB/O/K/Z_3;IncFIB(AP001918)_1;IncX4_2"	111	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entS;escC;escD;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX7/nleL;etgA;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimF;fimG;fimH;fimI;fyuA;gspC;gspL;gspM;hlyA;hlyB;hlyC;hlyD;irp1;iucA;iucB;iucC;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_50_Ec1"	"-"	"6;6;5;16;9;363;6"	"O111/O134-Gp6"	"H38/H8"	"stx1A;stx1B;stx2A;stx2B"	"eae"	5	5	0	"acrF;blaCMY-2;blaEC;mdtM;tet(A)"	3	"BETA-LACTAM;EFFLUX;TETRACYCLINE"	4	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;TETRACYCLINE"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	20	182646	0	2	"IncFIB(AP001918)_1;IncX4_2"	100	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escD;escE;escF;escG;escI;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espB;espD;espF;espG;espK;espL2;espM1;espM2;espN;espR1;espW;espX5;espX7/nleL;etgA;fepA;fepB;fepC;fepD;fepG;fimA;fimC;fimD;fimE;fimF;fimG;fimH;fimI;gspC;gspD;gspF;gspG;gspH;gspI;gspJ;gspK;gspM;hlyA;hlyB;hlyC;hlyD;iucA;iucB;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleG7';nleH1;nleH2;ompA;ospG;paa;sepD;sepL;sepQ/escQ;stx1A;stx1B;stx2A;stx2B;yagV/ecpE;yagW/ecpD"
"Ec_0-5_50_Ec2"	"-"	"6;1314?;22;1149?;9;12;7"	"O104/O185"	"H4/H7"	"stx2B;stx2dB"	""	11	11	0	"acrF;aph(3'')-Ib;aph(6)-Id;blaEC;blaTEM;dfrA7;mdtM;sul1;sul2;tet(A)"	6	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	6	"BETA-LACTAM;EFFLUX;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	22	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	1	0	0	"None found"	39	239657	0	6	"Col440I_1;IncFIA_1;IncFIB(AP001918)_1;IncFIC(FII)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	61	"aggA;aggB;aggC;aggD;csgB;csgD;csgF;entA;entC;entD;entE;entF;entS;espL1;espR1;espX1;espX4;espX5;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspL;gspM;iucA;iucB;iucC;iucD;iutA;ompA;pic;sigA;stx2B;yagV/ecpE;yagY/ecpB;ybtA;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_50_Ec3"	"-"	"6;6;5;136;9;696?;6"	"O104/O113"	"H4/H7"	"stx2A;stx2B"	"eaeH"	11	11	0	"aph(3'')-Ib;aph(6)-Id;blaCTX-M-28;blaEC;blaTEM-1;dfrA7;fosA7.5;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;FOSFOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	8	"BETA-LACTAM;CEPHALOSPORIN;EFFLUX;FOSFOMYCIN;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	21	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	3	0	0	"None found"	44	242110	1	5	"Col156_1;Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;IncI1_1_Alpha"	67	"aap/aspU;aggA;aggB;aggC;aggD;astA;csgB;csgD;csgF;csgG;entB;entC;entD;entE;entS;espL1;espR1;espX1;espX4;espX5;faeC;fdeC;fepB;fepC;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspE;gspF;gspG;gspH;gspI;gspJ;gspL;gspM;irp1;irp2;iucC;iucD;iutA;ompA;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX"
"Ec_0-5_50_Ec4"	"-"	"6;1431?;5;~136;9;7;7"	"O9/O104/Onovel14"	"H4/H7"	"stx2A;stx2B"	""	12	12	0	"acrF;aph(3'')-Ib;aph(6)-Id;blaKPC-3;blaTEM-1;dfrA7;fosA7.5;mdtM;sul1;sul2;tet(A)"	7	"AMINOGLYCOSIDE;BETA-LACTAM;EFFLUX;FOSFOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	8	"BETA-LACTAM;CARBAPENEM;EFFLUX;FOSFOMYCIN;STREPTOMYCIN;SULFONAMIDE;TETRACYCLINE;TRIMETHOPRIM"	21	"COPPER;COPPER/SILVER;MERCURY;SILVER;TELLURIUM"	3	"EFFLUX;QUATERNARY AMMONIUM"	3	0	0	"None found"	26	231144	0	4	"Col440I_1;IncFIB(AP001918)_1;IncFII(pRSB107)_1_pRSB107;repA_1_pKPC-2"	64	"aap/aspU;aggA;aggB;aggC;aggD;csgB;csgD;csgF;csgG;entA;entB;entC;entD;entE;entF;entS;espR1;espX1;espX4;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimC;fimD;fimE;fimF;fimG;fimH;fimI;fyuA;gspC;gspE;gspF;gspG;gspH;gspI;gspJ;irp2;iucA;iucC;iucD;iutA;ompA;pic;sigA;stx2A;stx2B;yagV/ecpE;yagW/ecpD;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_50_Ec5"	"-"	"16;4;12;~26;879?;8;7"	"O26/O175"	"H11/H28"	"stx1A;stx1B;stx2A;stx2B"	"eae;eaeH"	3	3	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	1	"EFFLUX"	1	0	0	"None found"	15	117755	1	3	"IncB/O/K/Z_3;IncFIB(AP001918)_1;pEC4115_1"	120	"cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;fdeC;fepA;fepB;fepC;fepD;fepG;fes;fimA;fimB;fimE;fimF;fimI;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyA;hlyB;hlyC;hlyD;irp1;iucA;iucB;iucC;iucD;iutA;map;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stx2A;stx2B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
"Ec_0-5_50_Ec6"	"-"	"6;4;873?;16;9;696?;7"	"O175/O26"	"H11/H16"	"stx1A;stx1B"	"eae"	4	4	0	"acrF;blaEC;mdtM"	2	"BETA-LACTAM;EFFLUX"	2	"BETA-LACTAM;EFFLUX"	3	"TELLURIUM"	0	""	1	0	0	"None found"	14	134767	0	3	"ColRNAI_1;IncB/O/K/Z_3;IncFIB(AP001918)_1"	123	"astA;cesAB;cesD;cesD2;cesF;cesL;cesT;cif;csgB;csgD;csgF;csgG;eae;east1;efa1;entA;entB;entC;entD;entE;entF;entS;escC;escE;escF;escG;escI;escJ;escL;escN;escO;escP;escR;escS;escT;escU;escV;espA;espD;espF;espG;espH;espK;espL1;espL2;espM1;espM2;espN;espP;espR1;espW;espX1;espX4;espX5;espX7/nleL;etgA;faeC;faeD;faeE;faeF;faeH;faeI;fepA;fepB;fepC;fepG;fes;fimA;fimB;fimC;fimF;fimG;fimH;fimI;fyuA;gspC;gspD;gspE;gspF;gspG;gspH;gspI;gspJ;gspK;gspL;gspM;hlyB;hlyD;iucA;iucB;iucD;iutA;map;nleA/espI;nleB1;nleC;nleE;nleF;nleG7';nleH1;nleH2;ompA;paa;sepD;sepL;sepQ/escQ;stx1B;stxA;toxB;yagV/ecpE;yagW/ecpD;yagX/ecpC;yagY/ecpB;yagZ/ecpA;ybtA;ybtE;ybtP;ybtQ;ybtS;ybtT;ybtU;ybtX;ykgK/ecpR"
